,Jahr,Monat,Umsatz
0,2013,7,143.7
1,2013,8,124.8
2,2013,9,106.8
3,2013,10,119.2
4,2013,11,124.1
5,2013,12,125.6
6,2014,1,89.3
7,2014,2,100.0
8,2014,3,117.2
9,2014,4,132.5
10,2014,5,134.5
11,2014,6,127.2
12,2014,7,142.9
13,2014,8,120.2
14,2014,9,104.8
15,2014,10,120.3
16,2014,11,125.2
17,2014,12,129.9
18,2015,1,84.1
19,2015,2,94.5
20,2015,3,114.2
21,2015,4,124.7
22,2015,5,129.2
23,2015,6,129.1
24,2015,7,149.1
25,2015,8,122.5
26,2015,9,113.6
27,2015,10,128.3
28,2015,11,126.9
29,2015,12,134.1
30,2016,1,84.5
31,2016,2,100.0
32,2016,3,117.9
33,2016,4,125.9
34,2016,5,140.4
35,2016,6,130.3
36,2016,7,146.4
37,2016,8,126.8
38,2016,9,117.7
39,2016,10,125.4
40,2016,11,129.4
41,2016,12,138.0
42,2017,1,84.9
43,2017,2,92.1
44,2017,3,110.2
45,2017,4,131.8
46,2017,5,132.6
47,2017,6,135.3
48,2017,7,155.2
49,2017,8,128.9
50,2017,9,114.4
51,2017,10,118.3
52,2017,11,131.0
53,2017,12,135.9
54,2018,1,68.2
55,2018,2,74.6
56,2018,3,101.2
57,2018,4,104.0
58,2018,5,114.0
59,2018,6,120.4
60,2018,7,126.3
61,2018,8,111.5
62,2018,9,95.7
63,2018,10,101.0
64,2018,11,108.3
65,2018,12,104.6
66,2019,1,69.5
67,2019,2,80.7
68,2019,3,95.8
69,2019,4,116.5
70,2019,5,120.4
71,2019,6,118.5
72,2019,7,122.4
